X,Y,Z,hexcode
0.9438572,-0.8780715,-1.4410181,#a5f0f0
0.99470437,-0.8300578,-1.5394672,#a5f0ff
0.19409977,-1.3295186,-0.31556842,#a5ff00
0.2398529,-1.3334183,-0.37373528,#a5ff0f
0.29563102,-1.3507264,-0.4455984,#a5ff1e
0.35462555,-1.373264,-0.5208286,#a5ff2d
0.41105568,-1.3915182,-0.59023166,#a5ff3c
0.46949998,-1.3951894,-0.6600645,#a5ff4b
0.52449787,-1.3881459,-0.73100156,#a5ff5a
0.5722686,-1.3695415,-0.80354017,#a5ff69
0.6160676,-1.3438901,-0.87822515,#a5ff78
0.66178024,-1.3161367,-0.95908517,#a5ff87
0.7110205,-1.2874798,-1.0474725,#a5ff96
0.7612131,-1.2581596,-1.1386771,#a5ffa5
0.81161976,-1.2267073,-1.2311599,#a5ffb4
0.861262,-1.1892736,-1.323103,#a5ffc3
0.9099394,-1.1448898,-1.4142776,#a5ffd2
0.9587494,-1.0974581,-1.5066545,#a5ffe1
1.008118,-1.0488417,-1.6012063,#a5fff0
1.0576489,-0.9988814,-1.69817,#a5ffff
-0.34091273,0.7317357,1.2361073,#b40000
-0.24222352,0.7375131,1.2228136,#b4000f
-0.15336998,0.7471193,1.2079546,#b4001e
-0.070223555,0.7547504,1.1856886,#b4002d
0.0051533245,0.7552341,1.1534929,#b4003c
0.06412425,0.7584148,1.112839,#b4004b
0.10931787,0.76708865,1.0701935,#b4005a
0.15170467,0.77739894,1.0272822,#b40069
0.19356993,0.78776693,0.9832587,#b40078
0.23299615,0.7970773,0.93436736,#b40087
0.26866624,0.80458415,0.87798434,#b40096
0.30426744,0.81158936,0.81864405,#b400a5
0.34330642,0.8192447,0.75494415,#b400b4
0.3885964,0.82849985,0.6831607,#b400c3
0.43929645,0.8395117,0.6015005,#b400d2
0.4908782,0.85193783,0.51517016,#b400e1
0.54140925,0.86584765,0.42656457,#b400f0
0.5913849,0.88037956,0.33554676,#b400ff
-0.2572535,0.58780074,1.1607149,#b40f00
-0.15816332,0.59955066,1.1443263,#b40f0f
-0.07063713,0.61126536,1.124804,#b40f1e
0.003308589,0.6306693,1.1010636,#b40f2d
0.05709141,0.6554063,1.0654153,#b40f3c
0.099328615,0.67158425,1.0225364,#b40f4b
0.14043115,0.6829912,0.97917914,#b40f5a
0.18176273,0.6931167,0.9349592,#b40f69
0.22163458,0.70219505,0.8871113,#b40f78
