X,Y,Z,hexcode
1.5964861,-1.7301437,1.7276249,#000000
1.6045862,-1.6837336,1.6169899,#00000f
1.5981264,-1.6270269,1.4838549,#00001e
1.5873555,-1.5702667,1.3459798,#00002d
1.5752631,-1.5160382,1.205707,#00003c
1.562833,-1.4650204,1.0637355,#00004b
1.5505346,-1.4175143,0.9205065,#00005a
1.5387493,-1.373729,0.77641046,#000069
1.5277543,-1.3338135,0.63185984,#000078
1.5178435,-1.2978883,0.48728037,#000087
1.5093191,-1.2660414,0.34311208,#000096
1.5024278,-1.2383143,0.19978297,#0000a5
1.4974245,-1.2147236,0.057743147,#0000b4
1.4945216,-1.1952422,-0.08258791,#0000c3
1.4939269,-1.1798122,-0.22080693,#0000d2
1.495822,-1.1683495,-0.3565376,#0000e1
1.5003452,-1.1607313,-0.48945215,#0000f0
1.5076067,-1.1568195,-0.6192241,#0000ff
1.5323077,-1.6398686,1.7124475,#000f00
1.5522492,-1.6047419,1.6213387,#000f0f
1.5653973,-1.5641114,1.5020162,#000f1e
1.5722164,-1.5165999,1.3690704,#000f2d
1.5708044,-1.4667625,1.229792,#000f3c
1.565161,-1.4176676,1.0869535,#000f4b
1.5578618,-1.370855,0.94136584,#000f5a
1.5498427,-1.3272132,0.7938251,#000f69
1.5417062,-1.287182,0.6450141,#000f78
1.5339261,-1.2509966,0.49561918,#000f87
1.5269194,-1.2188586,0.34640938,#000f96
1.5210366,-1.1908972,0.19813247,#000fa5
1.5166011,-1.1671754,0.051425017,#000fb4
1.5139261,-1.1476878,-0.093204536,#000fc3
1.5133,-1.1323936,-0.23532484,#000fd2
1.5150014,-1.1212143,-0.3745705,#000fe1
1.5192518,-1.114034,-0.51062953,#000ff0
1.5262283,-1.110709,-0.64321256,#000fff
1.4371239,-1.5243043,1.6881802,#001e00
1.4672997,-1.4902798,1.6007276,#001e0f
1.4849014,-1.462726,1.5009553,#001e1e
1.5031431,-1.4271077,1.3794516,#001e2d
1.518672,-1.3875155,1.2489179,#001e3c
1.5293452,-1.3451474,1.1083877,#001e4b
1.530479,-1.3018169,0.96292084,#001e5a
1.5271398,-1.2605786,0.8166302,#001e69
1.5229532,-1.2223662,0.66994923,#001e78
1.5191619,-1.1871473,0.52190644,#001e87
1.5161016,-1.1553688,0.3727215,#001e96
1.5138559,-1.1277134,0.22354136,#001ea5
1.5126224,-1.1045017,0.075222075,#001eb4
1.5127462,-1.0857431,-0.07172872,#001ec3
1.514681,-1.0713288,-0.21697395,#001ed2
1.5188509,-1.0611335,-0.3601762,#001ee1
1.5255485,-1.0550584,-0.5008335,#001ef0
1.5349625,-1.0530006,-0.63835615,#001eff
1.3389332,-1.4031978,1.660763,#002d00
1.3764722,-1.3650275,1.5688593,#002d0f
1.3952099,-1.3414037,1.4803474,#002d1e
1.4133378,-1.3144159,1.371027,#002d2d
1.4353203,-1.28245,1.2453346,#002d3c
1.4517093,-1.2480847,1.1167114,#002d4b
1.4699637,-1.2131314,0.9796316,#002d5a
1.4848195,-1.1772536,0.8331765,#002d69
1.4889205,-1.1410129,0.6820111,#002d78
1.4876161,-1.1072788,0.5304687,#002d87
1.4855998,-1.0774567,0.38076058,#002d96
1.4845512,-1.0516953,0.2330829,#002da5
